model,hypernym,backbone_acc,shuffle_type,category,avg_cosine
Qwen3-1.7B,scientific equipment,0.9128787878787878,shuffled,scientific equipment,0.09281506
Qwen3-1.7B,scientific equipment,0.9128787878787878,local_shuffled,scientific equipment,0.25827074
Qwen3-1.7B,sea animal,0.9788519637462235,original,sea animal,0.24193813
Qwen3-1.7B,sea animal,0.9788519637462235,shuffled,sea animal,0.09954861
Qwen3-1.7B,sea animal,0.9788519637462235,local_shuffled,sea animal,0.24193816
Qwen3-1.7B,seafood,0.960431654676259,original,seafood,0.2426431
Qwen3-1.7B,seafood,0.960431654676259,shuffled,seafood,0.10283856
Qwen3-1.7B,seafood,0.960431654676259,local_shuffled,seafood,0.24264313
Qwen3-1.7B,sports equipment,0.9421052631578948,original,sports equipment,0.17291136
Qwen3-1.7B,sports equipment,0.9421052631578948,shuffled,sports equipment,0.101585135
Qwen3-1.7B,sports equipment,0.9421052631578948,local_shuffled,sports equipment,0.17099938
Qwen3-1.7B,tool,0.9360086767895879,original,tool,0.24047066
Qwen3-1.7B,tool,0.9360086767895879,shuffled,tool,0.10443177
Qwen3-1.7B,tool,0.9360086767895879,local_shuffled,tool,0.23964897
Qwen3-1.7B,toy,0.91005291005291,original,toy,0.14247005
Qwen3-1.7B,toy,0.91005291005291,shuffled,toy,0.11020753
Qwen3-1.7B,toy,0.91005291005291,local_shuffled,toy,0.14156063
Qwen3-1.7B,vegetable,0.9846625766871165,original,vegetable,0.2909545
Qwen3-1.7B,vegetable,0.9846625766871165,shuffled,vegetable,0.09471787
Qwen3-1.7B,vegetable,0.9846625766871165,local_shuffled,vegetable,0.27907947
Qwen3-1.7B,vehicle,0.9593301435406698,original,vehicle,0.266092
Qwen3-1.7B,vehicle,0.9593301435406698,shuffled,vehicle,0.09682093
Qwen3-1.7B,vehicle,0.9593301435406698,local_shuffled,vehicle,0.25010836
Qwen3-1.7B,watercraft,0.9864864864864865,original,watercraft,0.39036003
Qwen3-1.7B,watercraft,0.9864864864864865,shuffled,watercraft,0.12020045
Qwen3-1.7B,watercraft,0.9864864864864865,local_shuffled,watercraft,0.3594098
Qwen3-1.7B,weapon,0.9154518950437318,original,weapon,0.1831309
Qwen3-1.7B,weapon,0.9154518950437318,shuffled,weapon,0.10580211
Qwen3-1.7B,weapon,0.9154518950437318,local_shuffled,weapon,0.184069
Qwen3-1.7B,women's clothing,0.9,original,piece of women's clothing,0.3113411
Qwen3-1.7B,women's clothing,0.9,shuffled,piece of women's clothing,0.13348475
Qwen3-1.7B,women's clothing,0.9,local_shuffled,piece of women's clothing,0.30778614
